,Finance_BLEU,Scientific_Literature_BLEU,Entertainment_Bleu
0,0.20792091817193184,0.22126771455089575,0.24475169893879972
1,0.25008137769297584,0.2616251520741159,0.22333715909672366
2,0.21568156945744216,0.22341187591335493,0.23449331112398875
3,0.25101130651992914,0.25694272851435956,0.25641835234983457
4,0.2394729173702036,0.23955806694288204,0.23374709329628768
5,0.19422942700338708,0.16993457850783208,0.26225998671511863
6,0.246394707198732,0.24524894661457416,0.23502989110603745
7,0.2233221580512011,0.1755598182192798,0.2576781526779269
8,0.22308643895936794,0.25402341159668157,0.20329593585093114
9,0.19310646077427726,0.303131391124727,0.20135771712139003
